,ts_code,name,count,exchange,list_date,type
0,700301.TI,能源(A股),,A,,I
1,700302.TI,原材料(A股),,A,,I
2,700303.TI,工业(A股),,A,,I
3,700304.TI,非日常生活消费品(A股),,A,,I
4,700305.TI,日常消费品(A股),,A,,I
5,700306.TI,医疗保健(A股),,A,,I
6,700307.TI,金融(A股),,A,,I
7,700308.TI,信息技术(A股),,A,,I
8,700309.TI,通讯业务(A股),,A,,I
9,700310.TI,公用事业(A股),,A,,I
10,700311.TI,房地产(A股),,A,,I
11,700320.TI,能源Ⅱ(A股),,A,,I
12,700321.TI,原材料Ⅱ(A股),,A,,I
13,700322.TI,资本品(A股),,A,,I
14,700323.TI,商业和专业服务(A股),,A,,I
15,700324.TI,运输(A股),,A,,I
16,700325.TI,汽车与汽车零部件(A股),,A,,I
17,700326.TI,耐用消费品与服装(A股),,A,,I
18,700327.TI,消费者服务(A股),,A,,I
19,700328.TI,非必需消费品分销和零售(A股),,A,,I
20,700329.TI,日常消费品分销和零售Ⅱ(A股),,A,,I
21,700330.TI,食品、饮料与烟草(A股),,A,,I
22,700331.TI,家庭与个人用品(A股),,A,,I
23,700332.TI,医疗保健设备与服务(A股),,A,,I
24,700333.TI,制药、生物科技和生命科学(A股),,A,,I
25,700334.TI,银行(A股),,A,,I
26,700335.TI,金融服务Ⅱ(A股),,A,,I
27,700336.TI,保险Ⅱ(A股),,A,,I
28,700337.TI,软件与服务(A股),,A,,I
29,700338.TI,技术硬件与设备(A股),,A,,I
30,700339.TI,半导体产品与设备Ⅱ(A股),,A,,I
31,700340.TI,电信业务(A股),,A,,I
32,700341.TI,媒体与娱乐(A股),,A,,I
33,700342.TI,公用事业Ⅱ(A股),,A,,I
34,700343.TI,权益型房地产投资信托(REIT)(A股),,A,,I
35,700344.TI,房地产管理和开发Ⅱ(A股),,A,,I
36,700360.TI,能源设备与服务(A股),,A,,I
37,700361.TI,石油、天然气与消费用燃料(A股),,A,,I
38,700362.TI,化学制品(A股),,A,,I
39,700363.TI,建筑材料Ⅲ(A股),,A,,I
40,700364.TI,容器与包装(A股),,A,,I
41,700365.TI,金属与采矿(A股),,A,,I
42,700366.TI,纸类与林业产品(A股),,A,,I
43,700367.TI,航空航天与国防(A股),,A,,I
44,700368.TI,建筑产品Ⅲ(A股),,A,,I
45,700369.TI,建筑与工程Ⅲ(A股),,A,,I
46,700370.TI,电气设备(A股),,A,,I
47,700371.TI,工业集团企业Ⅲ(A股),,A,,I
48,700372.TI,机械制造(A股),,A,,I
49,700373.TI,贸易公司与经销商Ⅲ(A股),,A,,I
50,700374.TI,商业服务与商业用品(A股),,A,,I
51,700375.TI,专业服务(A股),,A,,I
52,700376.TI,航空货运与物流Ⅲ(A股),,A,,I
53,700377.TI,客运航空公司Ⅲ(A股),,A,,I
54,700378.TI,海上运输Ⅲ(A股),,A,,I
55,700379.TI,地面运输(A股),,A,,I
56,700380.TI,交通基本设施(A股),,A,,I
57,700381.TI,汽车零部件(A股),,A,,I
58,700382.TI,汽车(A股),,A,,I
59,700383.TI,家庭耐用消费品(A股),,A,,I
60,700384.TI,休闲设备与用品(A股),,A,,I
61,700385.TI,纺织品、服装与奢侈品(A股),,A,,I
62,700386.TI,酒店、餐馆与休闲(A股),,A,,I
63,700387.TI,综合消费者服务(A股),,A,,I
64,700388.TI,经销商Ⅲ(A股),,A,,I
65,700389.TI,多品类零售Ⅲ(A股),,A,,I
66,700390.TI,专营零售(A股),,A,,I
67,700391.TI,日常消费品分销和零售Ⅲ(A股),,A,,I
68,700392.TI,饮料(A股),,A,,I
69,700393.TI,食品(A股),,A,,I
70,700394.TI,居家用品Ⅲ(A股),,A,,I
71,700395.TI,个人护理用品Ⅲ(A股),,A,,I
72,700396.TI,医疗保健设备与用品(A股),,A,,I
73,700397.TI,医疗保健提供商与服务(A股),,A,,I
74,700398.TI,医疗保健技术Ⅲ(A股),,A,,I
75,700399.TI,生物科技Ⅲ(A股),,A,,I
76,700400.TI,制药Ⅲ(A股),,A,,I
77,700401.TI,生命科学工具和服务Ⅲ(A股),,A,,I
78,700402.TI,商业银行(A股),,A,,I
79,700403.TI,金融服务Ⅲ(A股),,A,,I
80,700404.TI,消费信贷Ⅲ(A股),,A,,I
81,700405.TI,资本市场(A股),,A,,I
82,700406.TI,保险Ⅲ(A股),,A,,I
83,700407.TI,信息技术服务(A股),,A,,I
84,700408.TI,软件(A股),,A,,I
85,700409.TI,通信设备Ⅲ(A股),,A,,I
86,700410.TI,电脑与外围设备(A股),,A,,I
87,700411.TI,电子设备、仪器和元件(A股),,A,,I
88,700412.TI,半导体产品与设备Ⅲ(A股),,A,,I
89,700413.TI,综合电信业务Ⅲ(A股),,A,,I
90,700414.TI,无线电信业务Ⅲ(A股),,A,,I
91,700415.TI,媒体(A股),,A,,I
92,700416.TI,娱乐(A股),,A,,I
93,700417.TI,互动媒体与服务Ⅲ(A股),,A,,I
94,700418.TI,电力公用事业Ⅲ(A股),,A,,I
95,700419.TI,燃气公用事业Ⅲ(A股),,A,,I
96,700420.TI,复合型公用事业Ⅲ(A股),,A,,I
97,700421.TI,水公用事业Ⅲ(A股),,A,,I
98,700422.TI,独立电力生产商与能源贸易商Ⅲ(A股),,A,,I
99,700423.TI,多元化房地产投资信托(A股),,A,,I
100,700424.TI,工业房地产投资信托(A股),,A,,I
101,700425.TI,房地产管理和开发Ⅲ(A股),,A,,I
102,700450.TI,石油与天然气钻井(A股),,A,,I
103,700451.TI,石油天然气设备与服务(A股),,A,,I
104,700452.TI,综合性石油与天然气企业(A股),,A,,I
105,700453.TI,石油与天然气的勘探与生产(A股),,A,,I
106,700454.TI,石油与天然气的炼制和营销(A股),,A,,I
107,700455.TI,石油与天然气的储存和运输(A股),,A,,I
108,700456.TI,煤与消费用燃料(A股),,A,,I
109,700457.TI,商品化工(A股),,A,,I
110,700458.TI,多种化学制品(A股),,A,,I
111,700459.TI,化肥与农用药剂(A股),,A,,I
112,700460.TI,工业气体(A股),,A,,I
113,700461.TI,特种化学制品(A股),,A,,I
114,700462.TI,建筑材料Ⅳ(A股),,A,,I
115,700463.TI,金属、玻璃和塑料容器(A股),,A,,I
116,700464.TI,纸和塑料包装产品和材料(A股),,A,,I
117,700465.TI,铝(A股),,A,,I
118,700466.TI,多种金属与采矿(A股),,A,,I
119,700467.TI,黄金(A股),,A,,I
120,700468.TI,贵重金属与矿石(A股),,A,,I
121,700469.TI,白银(A股),,A,,I
122,700470.TI,钢铁(A股),,A,,I
123,700471.TI,铜(A股),,A,,I
124,700472.TI,林业产品(A股),,A,,I
125,700473.TI,纸制品(A股),,A,,I
126,700474.TI,航天航空与国防(A股),,A,,I
127,700475.TI,建筑产品Ⅳ(A股),,A,,I
128,700476.TI,建筑与工程Ⅳ(A股),,A,,I
129,700477.TI,电气部件与设备(A股),,A,,I
130,700478.TI,重型电气设备(A股),,A,,I
131,700479.TI,工业集团企业Ⅳ(A股),,A,,I
132,700480.TI,建筑机械和重型运输设备(A股),,A,,I
