,ts_code,extname,index_code,index_name,exchange,mgr_name,amount,human
371,159816.SZ,0-4地债ETF,931161.CSI,中证0-4年期地方政府债指数,SZ,鹏华基金,902011.135,1
231,159629.SZ,1000ETF,000852.SH,中证1000指数,SZ,富国基金,68556.913,1
965,560590.SH,1000ETF增强,000852.SH,中证1000指数,SH,鹏华基金,714.994,
274,159680.SZ,1000ETF增强,000852.SH,中证1000指数,SZ,招商基金,23493.909,
1024,561780.SH,1000增强ETF,000852.SH,中证1000指数,SH,博时基金,2559.163,
271,159677.SZ,1000增强ETF,000852.SH,中证1000指数,SZ,银华基金,8008.445,
277,159685.SZ,1000增强ETF天弘,000852.SH,中证1000指数,SZ,天弘基金,1142.098,
574,511270.SH,10年地方债ETF,950109.CSI,上证10年期地方政府债指数,SH,海富通基金,231559.453,1
558,510990.SH,180ESGETF,931088.CSI,中证180ESG指数,SH,工银瑞信基金,8130.156,
505,510010.SH,180治理ETF,000021.SH,上证180公司治理指数,SH,交银施罗德基金,61.236,
1010,561370.SH,2000ETF,932000.CSI,中证2000指数,SH,国泰基金,2463.062,
439,159907.SZ,2000ETF,399303.SZ,国证2000指数,SZ,广发基金,10227.369,1
169,159553.SZ,2000ETF增强,932000.CSI,中证2000指数,SZ,海富通基金,2723.293,
170,159555.SZ,2000增强ETF,932000.CSI,中证2000指数,SZ,银华基金,2039.457,
352,159791.SZ,300ESGETF,931463.CSI,沪深300ESG基准指数,SZ,华夏基金,237.224,
861,516830.SH,300ESGETF,931463.CSI,沪深300ESG基准指数,SH,富国基金,6614.817,1
49,159300.SZ,300ETF,000300.SH,沪深300指数,SZ,富国基金,141485.101,1
37,159238.SZ,300ETF增强,000300.SH,沪深300指数,SZ,景顺长城基金,13673.24,
1004,561300.SH,300增强ETF,000300.SH,沪深300指数,SH,国泰基金,88112.605,
253,159656.SZ,300成长ETF,000918.CSI,沪深300成长指数,SZ,万家基金,11144.192,
530,510370.SH,300指数ETF,000300.SH,沪深300指数,SH,兴业基金,1147.343,
1042,562080.SH,300现金流ETF,932366.CSI,沪深300自由现金流指数,SH,华宝基金,32976.631,
761,515300.SH,300红利低波ETF,930740.CSI,沪深300红利低波动指数,SH,嘉实基金,126012.325,
564,511090.SH,30年国债ETF,CBA21801.OTH,中债-30年期国债指数,SH,鹏扬基金,7804000.373,1
567,511130.SH,30年国债ETF博时,950175.CSI,上证30年期国债指数,SH,博时基金,2653997.63,
984,560950.SH,500ETF增强,000905.SH,中证小盘500指数,SH,汇添富基金,3153.374,
215,159610.SZ,500ETF增强,000905.SH,中证小盘500指数,SZ,景顺长城基金,4812.419,
221,159617.SZ,500价值ETF,931587.CSI,中证智选500价值稳健策略指数,SZ,华夏基金,390.291,
1014,561550.SH,500增强ETF,000905.SH,中证小盘500指数,SH,华泰柏瑞基金,13165.885,1
224,159620.SZ,500成长ETF,931590.CSI,中证智选500成长创新策略指数,SZ,华夏基金,920.681,
1033,561950.SH,500指数增强ETF,000905.SH,中证小盘500指数,SH,招商基金,4466.438,
775,515590.SH,500等权ETF,000982.SH,中证500等权重指数,SH,前海开源基金,188.114,
958,560500.SH,500质量成长ETF,930939.CSI,中证500质量成长指数,SH,鹏扬基金,3585.102,
551,510800.SH,50ETF基金,000016.SH,上证50指数,SH,建信基金,7933.98,
367,159811.SZ,5G50ETF,931406.CSI,中证5G产业50指数,SZ,博时基金,1688.516,
500,159994.SZ,5GETF,931079.CSI,中证5G通信主题指数,SZ,银华基金,40035.525,
740,515050.SH,5G通信ETF,931079.CSI,中证5G通信主题指数,SH,华夏基金,176024.458,1
487,159972.SZ,5年地债ETF,930865.CSI,中证5年期地方政府债指数,SZ,鹏华基金,2069432.483,1
562,511060.SH,5年地方债ETF,950045.CSI,上证5年期地方政府债指数,SH,海富通基金,1456030.399,
787,515800.SH,800ETF,000906.SH,中证800指数,SH,汇添富基金,51212.463,1
938,560030.SH,800价值ETF,H30356.CSI,中证800价值指数,SH,汇添富基金,44.734,
138,159517.SZ,800增强ETF,000906.SH,中证800指数,SZ,银华基金,8089.658,
1114,563990.SH,800现金流ETF,932368.CSI,中证800自由现金流指数,SH,富国基金,8662.4,
85,159355.SZ,800红利低波ETF,931848.CSI,中证800红利低波动指数,SZ,华宝基金,6313.14,
1104,563680.SH,800自由现金流ETF,932368.CSI,中证800自由现金流指数,SH,汇添富基金,3592.803,
997,561180.SH,A100ETF,000903.SH,中证A100指数,SH,富国基金,2445.244,
229,159627.SZ,A100ETF,000903.SH,中证A100指数,SZ,华夏基金,3521.534,
957,560380.SH,A100ETF南方,000903.SH,中证A100指数,SH,南方基金,14163.827,
258,159661.SZ,A100ETF嘉实,000903.SH,中证A100指数,SZ,嘉实基金,5374.316,
232,159630.SZ,A100ETF基金,000903.SH,中证A100指数,SZ,汇添富基金,1450.569,
1028,561880.SH,A100ETF基金,000903.SH,中证A100指数,SH,华富基金,34305.205,
278,159686.SZ,A100ETF易方达,000903.SH,中证A100指数,SZ,易方达基金,1825.341,
80,159339.SZ,A500ETF,000510.SH,中证A500指数,SZ,银华基金,202985.315,
107,159380.SZ,A500ETF东财,000510.SH,中证A500指数,SZ,西藏东财基金,1605.892,
609,512080.SH,A500ETF中金,000510.SH,中证A500指数,SH,中金基金,111524.856,
1096,563360.SH,A500ETF华泰柏瑞,000510.SH,中证A500指数,SH,华泰柏瑞基金,3003626.053,1
82,159351.SZ,A500ETF嘉实,000510.SH,中证A500指数,SZ,嘉实基金,2950594.889,
86,159356.SZ,A500ETF基金,000510.SH,中证A500指数,SZ,万家基金,156812.042,
607,512050.SH,A500ETF基金,000510.SH,中证A500指数,SH,华夏基金,3742200.736,
92,159362.SZ,A500ETF工银,000510.SH,中证A500指数,SZ,工银瑞信基金,86159.387,
605,512020.SH,A500ETF指数,000510.SH,中证A500指数,SH,鹏华基金,79452.157,
103,159376.SZ,A500ETF指数基金,000510.SH,中证A500指数,SZ,浦银安盛基金,19282.937,
91,159361.SZ,A500ETF易方达,000510.SH,中证A500指数,SZ,易方达基金,1092892.331,
112,159386.SZ,A500ETF永赢,000510.SH,中证A500指数,SZ,永赢基金,21105.339,
1111,563860.SH,A500ETF海富通,000510.SH,中证A500指数,SH,海富通基金,37844.048,
974,560750.SH,A500ETF申万菱信,000510.SH,中证A500指数,SH,申万菱信基金,12852.124,
106,159379.SZ,A500ETF融通,000510.SH,中证A500指数,SZ,融通基金,56776.475,
1103,563660.SH,A500ETF银河,000510.SH,中证A500指数,SH,银河基金,20772.318,
1101,563630.SH,A500增强ETF,000510.SH,中证A500指数,SH,国联安基金,10038.015,
43,159249.SZ,A500增强ETF工银,000510.SH,中证A500指数,SZ,工银瑞信基金,7886.095,
1100,563550.SH,A500增强ETF摩根,000510.SH,中证A500指数,SH,摩根基金,24415.617,
